%time,field.data
1399450000000,-0.00684309005737
1399450000000,-0.00579750537872
1399490000000,-0.00778514146805
1399490000000,-0.00744223594666
1399530000000,-0.00636547803879
1399530000000,-0.00569003820419
1399570000000,-0.0069482922554
1399570000000,-0.00827580690384
1399620000000,-0.00994777679443
1399620000000,-0.00967866182327
1399660000000,-0.00980550050735
1399660000000,-0.011342048645
1399700000000,-0.0106891989708
1399700000000,-0.0108256936073
1399740000000,-0.011817753315
1399740000000,-0.0120359063148
1399740000000,-0.00992494821548
1399780000000,-0.0111520290375
1399780000000,-0.0105239152908
1399790000000,-0.0104625821114
1399810000000,-0.0101000666618
1399850000000,-0.0116509795189
1399890000000,-0.010348200798
1399890000000,-0.012356877327
1399930000000,-0.0132997632027
1399930000000,-0.0123293995857
1399970000000,-0.0115811228752
1399970000000,-0.0111602544785
1400010000000,-0.0108730196953
1400010000000,-0.0114679932594
1400050000000,-0.0110709667206
1400050000000,-0.0121527910233
1400090000000,-0.0119765996933
1400090000000,-0.0123220682144
1400130000000,-0.0131217837334
1400130000000,-0.0125031471252
1400180000000,-0.0128061771393
1400180000000,-0.0119852423668
1400180000000,-0.0125519633293
1400220000000,-0.013024866581
1400220000000,-0.0134220719337
1400230000000,-0.014139354229
1400250000000,-0.0139122605324
1400290000000,-0.0158007740974
1400330000000,-0.0142167210579
1400330000000,-0.0142081975937
1400380000000,-0.0148399472237
1400380000000,-0.013348698616
1400380000000,-0.0148186683655
1400420000000,-0.0145937800407
1400420000000,-0.0156283378601
1400430000000,-0.0147626399994
1400450000000,-0.0152599811554
1400490000000,-0.0142144560814
1400530000000,-0.0151880979538
1400530000000,-0.0147671699524
1400570000000,-0.015593111515
1400570000000,-0.0160998106003
1400610000000,-0.0158728957176
1400610000000,-0.0168543457985
1400650000000,-0.0162466168404
1400650000000,-0.017370402813
1400690000000,-0.0170913338661
1400690000000,-0.0157076120377
1400730000000,-0.0161662697792
1400730000000,-0.015044271946
1400770000000,-0.0168923139572
1400770000000,-0.0169664621353
1400810000000,-0.0168941617012
1400810000000,-0.018125295639
1400860000000,-0.0178223252296
1400860000000,-0.0196830034256
1400860000000,-0.0213013887405
1400900000000,-0.0212022066116
1400900000000,-0.0206784009933
1400910000000,-0.0216718316078
1400930000000,-0.0208500623703
1400970000000,-0.0202527046204
1401010000000,-0.0204502344131
1401010000000,-0.0211314558983
1401050000000,-0.0209966301918
1401050000000,-0.0218989253044
1401090000000,-0.022127866745
1401090000000,-0.0211598277092
1401130000000,-0.0211188793182
1401130000000,-0.0200651288033
1401170000000,-0.0216354131699
1401170000000,-0.0215085744858
1401210000000,-0.021836400032
1401210000000,-0.0222129225731
1401250000000,-0.0234062075615
1401250000000,-0.0237036943436
1401290000000,-0.0227546095848
1401290000000,-0.0225091576576
1401330000000,-0.0228933691978
1401330000000,-0.0228361487389
1401370000000,-0.0226072669029
1401370000000,-0.0235803127289
1401420000000,-0.0237124562263
1401420000000,-0.023787856102
1401420000000,-0.0237464308739
1401460000000,-0.0239514708519
1401460000000,-0.0227457284927
1401470000000,-0.0233886837959
1401490000000,-0.0236482024193
1401530000000,-0.0237016677856
1401580000000,-0.0234374403954
1401580000000,-0.0253702402115
1401580000000,-0.0227174162865
1401620000000,-0.0233779549599
1401620000000,-0.0245776772499
1401630000000,-0.024752497673
1401650000000,-0.0243935585022
1401700000000,-0.0236304402351
1401700000000,-0.0263455510139
1401740000000,-0.0245806574821
1401740000000,-0.0254213809967
1401780000000,-0.0262115597725
1401780000000,-0.0253368616104
1401820000000,-0.0247830748558
1401820000000,-0.0244726538658
1401860000000,-0.0253514051437
1401860000000,-0.0264711380005
1401900000000,-0.0252379775047
1401900000000,-0.0262416601181
1401940000000,-0.0269361138344
1401940000000,-0.0264343619347
1401980000000,-0.0262105464935
1401980000000,-0.0256521105766
1402020000000,-0.0274186134338
1402020000000,-0.0266920924187
1402060000000,-0.0279853343964
1402060000000,-0.0283945202827
1402100000000,-0.0288872718811
1402100000000,-0.0303860902786
1402140000000,-0.0299398899078
1402140000000,-0.0297372341156
1402180000000,-0.0293058156967
1402180000000,-0.0291872024536
1402220000000,-0.0303940176964
1402220000000,-0.0287627577782
1402260000000,-0.0290133953094
1402260000000,-0.0303640365601
1402300000000,-0.0318261384964
1402300000000,-0.0320064425468
1402340000000,-0.0327067375183
1402340000000,-0.0321670174599
1402380000000,-0.0316316485405
1402380000000,-0.033191382885
1402420000000,-0.0332353711128
1402420000000,-0.032236456871
1402460000000,-0.0336571335793
1402460000000,-0.0342513918877
1402500000000,-0.0332826972008
1402500000000,-0.0338545441628
1402540000000,-0.0337134003639
1402540000000,-0.0340334177017
1402580000000,-0.033907532692
1402580000000,-0.0337963104248
1402620000000,-0.0335243940353
1402620000000,-0.0341511368752
1402660000000,-0.0344941020012
1402660000000,-0.0340087413788
1402700000000,-0.0345457196236
1402700000000,-0.0344935655594
1402740000000,-0.0343453288078
1402740000000,-0.0350497961044
1402780000000,-0.0347555875778
1402780000000,-0.035009264946
1402820000000,-0.0356680750847
1402820000000,-0.0352708697319
1402860000000,-0.0343242287636
1402860000000,-0.0346791148186
1402900000000,-0.034616291523
1402900000000,-0.0344089269638
1402940000000,-0.0344747304916
1402940000000,-0.0340254306793
1402980000000,-0.034535586834
1402980000000,-0.0357604622841
1403020000000,-0.0350033640862
1403020000000,-0.0357100963593
1403060000000,-0.035679101944
1403100000000,-0.035081923008
1403100000000,-0.0349122881889
1403140000000,-0.035197019577
1403140000000,-0.0349562764168
1403180000000,-0.0347086787224
1403180000000,-0.0343631505966
1403220000000,-0.0347191095352
1403220000000,-0.0359111428261
1403220000000,-0.0357302427292
1403260000000,-0.0352975726128
1403260000000,-0.035751760006
1403270000000,-0.03662109375
1403290000000,-0.0358352065086
1403330000000,-0.0370789766312
1403370000000,-0.0359474420547
1403370000000,-0.035852432251
1403410000000,-0.035756111145
1403410000000,-0.0357435941696
1403450000000,-0.0360631346703
1403450000000,-0.0355199575424
1403490000000,-0.036045730114
1403490000000,-0.035956799984
1403530000000,-0.0351496934891
1403530000000,-0.036219060421
1403570000000,-0.0366944670677
1403570000000,-0.0357187390327
1403610000000,-0.0364758968353
1403610000000,-0.0353407859802
1403650000000,-0.0357080101967
1403650000000,-0.0352241396904
1403690000000,-0.0348737239838
1403690000000,-0.0365025997162
1403730000000,-0.0372704863548
1403730000000,-0.0367711186409
1403770000000,-0.0373497605324
1403770000000,-0.03637778759
1403810000000,-0.0354742407799
1403810000000,-0.0364832878113
1403850000000,-0.0359187722206
1403850000000,-0.0371603369713
1403890000000,-0.0377441048622
1403890000000,-0.0366967320442
1403930000000,-0.0364534854889
1403930000000,-0.0371125936508
1403970000000,-0.0359103083611
1403970000000,-0.0350750684738
1404010000000,-0.0353816151619
1404010000000,-0.0334178805351
1404050000000,-0.0345248579979
1404050000000,-0.0335592031479
1404090000000,-0.0343703627586
1404090000000,-0.0347794294357
1404130000000,-0.0354781150818
1404130000000,-0.0353278517723
1404170000000,-0.0375829339027
1404170000000,-0.0355590581894
1404210000000,-0.0363641381264
1404210000000,-0.0358139276505
1404250000000,-0.0365554690361
1404250000000,-0.036670088768
1404290000000,-0.0356757640839
1404290000000,-0.0366299152374
1404330000000,-0.0366333127022
1404330000000,-0.0352537631989
1404370000000,-0.0361114740372
1404370000000,-0.0346665978432
1404410000000,-0.0351818203926
1404410000000,-0.034671664238
1404450000000,-0.0351403355598
1404450000000,-0.0355119109154
1404490000000,-0.0366145372391
1404490000000,-0.0370758771896
1404530000000,-0.0376426577568
1404530000000,-0.0365667939186
1404570000000,-0.0354321599007
1404570000000,-0.0364323854446
1404610000000,-0.0353119373322
1404610000000,-0.0363702178001
1404650000000,-0.0359869003296
1404650000000,-0.0347664356232
1404690000000,-0.0350738763809
1404690000000,-0.0345461964607
1404730000000,-0.0355042219162
1404730000000,-0.0335741639137
1404770000000,-0.0342796444893
1404770000000,-0.0349766612053
1404810000000,-0.0358246564865
1404810000000,-0.0365895032883
1404850000000,-0.0370765924454
1404850000000,-0.0353257060051
1404890000000,-0.0362755656242
1404890000000,-0.0357746481895
1404930000000,-0.0356991291046
1404930000000,-0.0361168980598
1404970000000,-0.0353790521622
1404970000000,-0.0354753136635
1405010000000,-0.0352436900139
1405010000000,-0.0352098941803
1405050000000,-0.0344698429108
1405050000000,-0.0350226759911
1405090000000,-0.0356057286263
1405090000000,-0.0350923538208
1405130000000,-0.0350016355515
1405130000000,-0.0347528457642
1405170000000,-0.0334500074387
1405170000000,-0.0329945087433
1405220000000,-0.0333010554314
1405220000000,-0.0324658751488
1405220000000,-0.0340657234192
1405260000000,-0.0349612832069
1405260000000,-0.0336498618126
1405270000000,-0.0334137678146
1405290000000,-0.0335053801537
1405330000000,-0.0324230194092
1405380000000,-0.0326534509659
1405380000000,-0.0335929393768
1405380000000,-0.0316506028175
1405420000000,-0.0326048731804
1405420000000,-0.0337598323822
1405430000000,-0.0332207083702
1405450000000,-0.0338863730431
1405490000000,-0.0333775281906
1405530000000,-0.0346195101738
1405530000000,-0.0344989895821
1405570000000,-0.0341991186142
1405570000000,-0.0341883897781
1405610000000,-0.0349825024605
